No. ,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,ON SITE/ OFF SITE,Sub Item No. ,N,E,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation,
10,955,Galthenna,1. Renovation of four (04) Leader Drains,OFF,1,7.25681,80.64975,2.5 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 250,000.00 ",Labour and other basic services by the Local community/ Shramadana,1 Year,
10,955,Galthenna,1. Renovation of four (04) Leader Drains,OFF,2,7.25552,80.64779,,,,,,,
10,955,Galthenna,1. Renovation of four (04) Leader Drains,OFF,3,7.25499,80.64793,,,,,,,
10,955,Galthenna,1. Renovation of four (04) Leader Drains,OFF,4,7.15239,80.38417,,,,,,,
10,955,Galthenna,2. Establishing a Retaining Wall for Gorakagahamadithtgha Ela,OFF,1,7.1512087,80.385496,16 m x 4 m,Retaining Wall using stones,"2,000.00 m-2"," 128,000.00 ",Guidance by NRMC ,0.25 Years,
10,955,Galthenna,3. Establishing a Retaining Wall 2 (Galthenne Junior School),ON,1,7.1522645,80.384363,22 m x 2 m,Retaining Wall using stones,"2,000.00 m-2"," 88,000.00 ",Funds by the Project,0.25 Years,
10,955,Galthenna,"4. Soil and water conservation measures in Home Gardens/Galthenna, 55°",ON,1,7.1524273,80.3840848,12.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1," 3,125,000.00 ",Labour and other basic services by the Local community,0.5 Years,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,1,7.1512842,80.3956316,16.7 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 1,670,000.00 ",Labour and other basic services by the Local community/ Shramadana,1.5 Years,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,2,7.25278,80.66694,,,,,,,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,3,7.25361,80.66507,,,,,,,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,4,7.1518,80.406222,,,,,,,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,5,7.145744,80.407576,,,,,,,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,6,7.151054,80.3957344,,,,,,,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,7,7.1523836,80.40437,,,,,,,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,8,7.1519027,80.4027461,,,,,,,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,9,7.1520518,80.4015649,,,,,,,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,10,7.25526,80.66948,,,,,,,
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,OFF,11,7.25587,80.67012,,,,,,,
11,962,Nehiniwela,"2. Soil and water conservation measures in home gardens, Nahiniwela, 70 - 80° slope",ON,1,7.25037,80.66929,16 ha,Live fencing/SALT,250.00 m-1," 4,000,000.00 ",Labour and other basic services by the Local community,1 Year,
11,962,Nehiniwela,"3. Soil and water conservation measures in waste lands, Nahiniwela, 80° slope",ON,1,7.25057,80.66874,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied
",250.00 m-1," 1,200,000.00 ",,0.5 Years,
11,962,Nehiniwela,"4. Preparation of Drain at the middle of village/Raod, Nehiniwela",OFF,1,7.25073,80.66754,1.5 km x 0.5 m x 0.5 m ,Drain,400.00 m-1," 150,000.00 ",,0.25 Years,
11,962,Nehiniwela,"5. Soil and water conservation measures, Dewagolla Waththa (30 - 60°)",ON,1,7.1523739,80.409121,24 ha,"Live fencing/SALT - 15 ha
Stone terracing - 5 ha
Lock and Spills - 4 ha","250.00 m-1
2500.00 m-1
400.00 m-1","3750000.00
12500000.00
1600000.00","Labour and other basic services by the Local community
Labour and other basic services by the Local community
Labour and other basic services by the Local community",2 Years,
12,963,Godampitiya,1. Stream bank conservation with side walls in Thalathuoya 1,OFF,1,7.25338,80.66935,"0.5 km x 3 m
2 km","Side walls
Clearing and planting some trees along the banks (Aracanut) and other conservation practices","2,000.00 m-3","3000000.00
200000.00",Labour and other basic services by the Local community/ Shramadana,0.5 Years,
12,963,Godampitiya,2. Stream bank conservation with side walls in Thalathuoya 2,OFF,1,7.25288,80.67251,0.2 km x 6 m x 1 m,Side walls,"2,000.00 m-3"," 2,400,000.00 ",Guidance by NRMC ,0.25 Years,
12,963,Godampitiya,3. Rennovation of Leader Drain 1,OFF,1,7.725021,80.67399,2 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 200,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.5 Years,
